season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2020,Patrick Patterson,UFA,1.9,Signed 1-yr $3M contract,1,3077704.00,spotrac
2020,Bobby Portis,UFA,1.9,Signed 2-yr $7.4M contract,2,3623000.00,spotrac
2020,Jevon Carter,RFA,1.8,Signed 3-yr $11.5M contract,3,3925000.00,spotrac
2020,Wesley Iwundu,UFA,1.7,Signed 2-yr $3.5M contract,2,1678854.00,spotrac
2020,De'Anthony Melton,RFA,1.7,Signed 4-yr $35M contract,4,9571712.00,spotrac
2020,Shabazz Napier,UFA,1.7,,0,0.00,bbref
2020,Elfrid Payton,UFA,1.7,Signed 1-yr $4.8M contract,1,4767000.00,spotrac
2020,Harry Giles,UFA,1.6,Signed 1-yr $1.7M contract,1,1678854.00,spotrac
2020,Jordan McLaughlin,RFA,1.6,*two-way*,0,0.00,bbref
2020,Avery Bradley,UFA,1.5,Signed 2-yr $11.6M contract,2,5635000.00,spotrac
2020,Bryn Forbes,UFA,1.5,Signed 2-yr $4.8M contract,2,2337145.00,spotrac
2020,Shaquille Harrison,UFA,1.5,Signed 1-yr non-guaranteed minimum contract,1,1678854.00,bball-insiders
2020,Robin Lopez,UFA,1.5,Signed 1-yr $7.3M contract,1,7300000.00,spotrac
2020,John Henson,UFA,1.4,,0,0.00,bbref
2020,Solomon Hill,UFA,1.4,Signed 1-yr $2.2M contract,1,2174318.00,spotrac
2020,Frank Kaminsky,UFA,1.4,Signed and waived by SAC *non-guaranteed summer*,0,0.00,bball-insiders
2020,Skal Labissière,UFA,1.4,Signed and waived by NYK *exhibit 10*,0,0.00,bbref
2020,Ian Mahinmi,UFA,1.4,,0,0.00,NA
2020,Markieff Morris,UFA,1.4,Signed 1-yr $2.3M contract,1,2331593.00,spotrac
2020,Rajon Rondo,UFA,1.4,Signed 2-yr $15M contract,2,7500000.00,spotrac
2020,Carmelo Anthony,UFA,1.3,Signed 1-yr/$2.56M contract,1,2564753.00,spotrac
2020,Trey Burke,UFA,1.3,Signed 3-yr $10M contract,3,3174603.00,bbref
2020,Cheick Diallo,UFA,1.3,,0,0.00,NA
2020,Jahlil Okafor,UFA,1.3,Signed 2-yr $4M contract,2,1882867.00,spotrac
2020,Malik Beasley,RFA,1.2,Signed 4-yr $60M contract,4,13325895.00,spotrac
2020,Gary Clark,RFA,1.2,Signed 2-yr $4.1M contract,2,2000000.00,bbref
2020,Raul Neto,UFA,1.2,Signed 1-yr $1.9M contract,1,1882867.00,spotrac
2020,JaKarr Sampson,UFA,1.2,Signed 1-yr $1.9M contract,1,1882867.00,spotrac
2020,Sterling Brown,UFA,1.1,Signed 1-yr $1.7M contract,1,1678854.00,spotrac
2020,Rodney Hood,UFA,1.1,"Signed 2-yr $21M contract, 2021-22 is not guaranteed",2,10047450.00,spotrac
2020,Reggie Jackson,UFA,1.1,SIgned 1-yr $2.3M contract,1,2331593.00,spotrac
2020,Kyle O'Quinn,UFA,1.1,,0,0.00,NA
2020,Emmanuel Mudiay,UFA,1,,0,0.00,NA
2020,Elie Okobo,UFA,1,Signed and waived by BRK *exhibit 10*,0,0.00,bbref
2020,Noah Vonleh,UFA,1,"Signed and Waived by CHI, then BRK",1,2028594.00,bball-insiders
2020,Damyean Dotson,UFA,0.9,Signed 2-yr $4M contract,2,2000000.00,spotrac
2020,Juan Hernangómez,RFA,0.9,Signed 3-yr/$21M contract,3,6493000.00,bbref
2020,E'Twaun Moore,UFA,0.9,Signed 1-yr $2.3M contract,1,2331593.00,spotrac
2020,Kenrich Williams,UFA,0.9,Signed 3-yr $6M contract with NOP as part of sign-and-trade,3,2000000.00,spotrac
2020,Marco Belinelli,UFA,0.8,,0,0.00,NA
2020,Jared Dudley,UFA,0.8,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2020,Drew Eubanks,RFA,0.8,Signed 3-yr $5.3M contract,3,1620564.00,spotrac
2020,Willy Hernangómez,UFA,0.8,Signed 1-yr $1.7M contract,1,1737145.00,spotrac
2020,Mario Hezonja,UFA,0.8,,0,0.00,NA
2020,J.J. Barea,UFA,0.7,Signed and waived by Dallas,1,2564753.00,bball-insiders
2020,Wilson Chandler,UFA,0.7,,0,0.00,NA
2020,Yogi Ferrell,UFA,0.7,"Signed and waived by UTA, signed 10-day contract with CLE *exhibit 10*",0,0.00,bbref
2020,Tyler Johnson,UFA,0.7,Signed 1-yr/$2M contract,1,2028594.00,spotrac
2020,John Konchar,RFA,0.7,Signed 4-yr $9M contract,4,2093023.00,bbref
2020,Jordan McRae,UFA,0.7,,0,0.00,NA
2020,Thabo Sefolosha,UFA,0.7,,0,0.00,NA
2020,Nicolas Batum,UFA,0.6,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2020,Kent Bazemore,UFA,0.6,Signed 1-yr/$2.3M contract,1,2320044.00,spotrac
2020,Tyson Chandler,UFA,0.6,,0,0.00,NA
2020,Troy Daniels,UFA,0.6,,0,0.00,NA
2020,Garrison Mathews,RFA,0.6,*two-way*,0,0.00,bbref
2020,Derrick Walton,UFA,0.6,*exhibit 10*,0,0.00,bbref
2020,Chris Chiozza,RFA,0.5,Signed and waived by BRK *exhibit 9*,0,0.00,bball-insiders
2020,Josh Jackson,UFA,0.5,Signed 2-yr $9.8M contract,2,4767000.00,spotrac
2020,Gary Payton II,UFA,0.5,,0,0.00,NA
2020,Anthony Tolliver,UFA,0.5,,0,0.00,NA
2020,Denzel Valentine,RFA,0.5,Signed 1-yr $4.7M contract,1,4642800.00,spotrac
2020,Ante Žižić,UFA,0.5,,0,0.00,NA
2020,Jordan Bell,UFA,0.4,"Signed and waived by WAS, resigned to exhibit 10 contract via hardship exception and waived",0,0.00,NA
2020,Ryan Broekhoff,UFA,0.4,Signed and waived by PHI *exhibit 10*,0,0.00,NA
2020,Bruno Caboclo,UFA,0.4,Signed and waived by HOU,2,2028594.00,bball-insiders
2020,Wayne Ellington,UFA,0.4,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2020,Donta Hall,UFA,0.4,,0,0.00,NA
2020,Jeremiah Martin,UFA,0.4,,0,0.00,NA
2020,Frank Mason III,UFA,0.4,Signed and waived by PHI *exhibit 10*,0,0.00,NA
2020,Johnathan Williams,RFA,0.4,,0,0.00,NA
2020,DeMarre Carroll,UFA,0.3,,0,0.00,NA
2020,DaQuan Jeffries,RFA,0.3,Signed 2-yr/$3M contract,2,1445697.00,spotrac
2020,Alize Johnson,UFA,0.3,Signed and waived by TOR *exhibit 10*,0,0.00,NA
2020,T.J. Leaf,UFA,0.3,,0,0.00,NA
2020,Chimezie Metu,UFA,0.3,Signed and waived by SAC,3,1764740.00,spotrac
2020,Malcolm Miller,UFA,0.3,Signed and waived by UTA *exhibit 10*,0,0.00,NA
2020,Johnathan Motley,UFA,0.3,Signed and waived by PHO *exhibit 10*,0,0.00,NA
2020,Norvel Pelle,UFA,0.3,"Signed and waived by CLE, signed by BRK, then waived and signed by SAC *exhibit 10*",0,0.00,NA
2020,DeAndre' Bembry,UFA,0.2,Signed 2-yr $3.7M contract,2,1737145.00,spotrac
2020,Tyler Cook,UFA,0.2,Signed and waived by MIN *exhibit 10*,0,0.00,NA
2020,Matthew Dellavedova,UFA,0.2,Signed 1-yr/$2.2M contract,1,2174318.00,spotrac
2020,Melvin Frazier,UFA,0.2,Signed and waived by OKC *exhibit 9 & 10*,0,0.00,NA
2020,Wenyen Gabriel,RFA,0.2,Signed 2-yr $3.4M contract,2,1620564.00,spotrac
2020,Treveon Graham,UFA,0.2,Signed and waived by MIL *exhibit 10*,0,0.00,NA
2020,Kelan Martin,UFA,0.2,Signed 2-yr $3M contract,2,1445697.00,spotrac
2020,Džanan Musa,UFA,0.2,,0,0.00,NA
2020,Juan Toscano-Anderson,UFA,0.2,*two-way*,0,0.00,NA
2020,Oshae Brissett,RFA,0.1,Signed and waived by TOR,2,1573645.00,spotrac
2020,Jamal Crawford,UFA,0.1,,0,0.00,NA
2020,Dewayne Dedmon,UFA,0.1,,0,0.00,NA
2020,Tim Frazier,UFA,0.1,,0,0.00,NA
2020,Marko Guduric,UFA,0.1,,0,0.00,NA
2020,Joakim Noah,UFA,0.1,,0,0.00,NA
2020,Admiral Schofield,UFA,0.1,,0,0.00,NA
2020,Sindarius Thornwell,UFA,0.1,"Signed 2-yr $3.5M contract, waived and then re-signed to 10-day contract",1,1620564.00,spotrac
2020,Dion Waiters,UFA,0.1,,0,0.00,NA
2020,Yuta Watanabe,RFA,0.1,Signed exhibit 10 contract *convert to two-way*,0,0.00,NA
2020,Kyle Alexander,UFA,0,,0,0.00,NA
2020,Jarrell Brantley,RFA,0,*two-way*,0,0.00,NA
2020,Corey Brewer,UFA,0,,0,0.00,NA
2020,Charlie Brown,UFA,0,Signed and waived by MIN *exhibit 10*,0,0.00,NA
2020,Moses Brown,UFA,0,*two-way*,0,0.00,NA
2020,Zylan Cheatham,RFA,0,"Signed 3-yr $5M contract with NOP as part of sign-and-trade and then waived by OKC, signed and waived by MIN",3,1664676.00,spotrac
2020,Jerian Grant,UFA,0,Signed 1-yr $1.9M contract,1,1882867.00,bbref
2020,Udonis Haslem,UFA,0,Signed 1-yr/$2.6M contract,1,2564753.00,spotrac
2020,Dewan Hernandez,UFA,0,*exhibit 10*,0,0.00,bbref
2020,Amile Jefferson,UFA,0,*exhibit 10*,0,0.00,bbref
2020,Louis King,UFA,0,Signed and waived by NYK,0,0.00,bbref
2020,Luc Mbah a Moute,UFA,0,,0,0.00,bbref
2020,Matt Mooney,RFA,0,,0,0.00,bbref
2020,Tariq Owens,RFA,0,,0,0.00,bbref
2020,Chasson Randle,UFA,0,*exhibit 10*,0,0.00,bbref
2020,Josh Reaves,UFA,0,Signed and waived by HOU *exhibit 10*,0,0.00,bbref
2020,Andre Roberson,UFA,0,"Signed contract with BRK, waived and resigned 10-day contract",0,0.00,NA
2020,Justin Robinson,UFA,0,*exhibit 10*,0,0.00,bbref
2020,Caleb Swanigan,UFA,0,,0,0.00,NA
2020,Khyri Thomas,UFA,0,Signed and waived by SAS *exhibit 10*,0,0.00,bbref
2020,Lance Thomas,UFA,0,,0,0.00,NA
2020,Jarrod Uthoff,UFA,0,Signed and waived by NOP,1,1620564.00,spotrac
2020,Nigel Williams-Goss,UFA,0,,0,0.00,NA
2020,Justin Wright-Foreman,UFA,0,Signed and Waived by NOP *exhibit 10*,0,0.00,bbref
2020,Tyler Zeller,UFA,0,,0,0.00,NA
2020,Justin Anderson,UFA,-0.1,Signed and waived by PHI,2,2006445.00,spotrac
2020,Jordan Bone,UFA,-0.1,*two-way*,0,0.00,bbref
2020,Ky Bowman,UFA,-0.1,Signed and waived by LAC,1,1445697.00,spotrac
2020,Antonius Cleveland,RFA,-0.1,Signed and waived by OKC *exhibit 10*,0,0.00,bbref
2020,Josh Gray,RFA,-0.1,"Signed contract with NOP as part of sign-and-trade with OKC and was waived, signed and waived by IND",3,1620564.00,bbref
2020,Kevin Hervey,RFA,-0.1,,0,0.00,NA
2020,William Howard,UFA,-0.1,,0,0.00,NA
2020,B.J. Johnson,RFA,-0.1,Signed and waived by MIA *exhibit 10*,0,0.00,NA
2020,Brandon Knight,UFA,-0.1,,0,0.00,NA
2020,Vic Law,RFA,-0.1,,0,0.00,NA
2020,Zach Norvell,UFA,-0.1,,1,1445697.00,spotrac
2020,Marial Shayok,UFA,-0.1,,0,0.00,NA
2020,J.R. Smith,UFA,-0.1,,0,0.00,NA
2020,Zhaire Smith,UFA,-0.1,Signed and waived by MEM *exhibit 10*,0,0.00,bbref
2020,Quinndary Weatherspoon,RFA,-0.1,,0,0.00,NA
2020,Vince Carter,UFA,-0.2,,0,0.00,NA
2020,Michael Frazier,RFA,-0.2,,0,0.00,NA
2020,Devon Hall,UFA,-0.2,,0,0.00,NA
2020,Michael Kidd-Gilchrist,UFA,-0.2,Signed and waived by NYK *exhibit 10*,0,0.00,bbref
2020,Evan Turner,UFA,-0.3,,0,0.00,NA
2020,Deonte Burton,UFA,-0.5,,0,0.00,NA
2020,Jacob Evans,UFA,-0.5,,0,0.00,NA
2020,Dwayne Bacon,UFA,-0.8,Signed 2-yr $3.5M contract,2,1678854.00,spotrac
2020,Thon Maker,UFA,1.5,Signed Exhibit 10 contract,0,0.00,NA
2020,Keita Bates-Diop,UFA,1.2,Signed two-way contract,0,0.00,NA
2020,Courtney Lee,UFA,0.7,Signed Exhibit 10 contract and waived by DAL,0,0.00,NA
2020,Quinn Cook,UFA,0.3,Signed Exhibit 10 contract,0,0.00,NA
2020,Tacko Fall,RFA,0.2,Signed 2-way contract,0,0.00,NA
2020,Jaylen Hoard,UFA,0.2,"Signed and waived by OKC, signed two-way contract",0,0.00,NA
2020,Frank Jackson,UFA,0.2,"Signed and waived by OKC, signed two-way contract with DET",0,0.00,NA
2020,Adam Mokoka,RFA,0.2,Signed 2-way contract,0,0.00,NA
2020,Rayjon Tucker,UFA,0.2,"Signed and waived by LAC, signed two-way contract with PHI",0,0.00,NA
2020,Kostas Antetokounmpo,UFA,0.1,Signed 2-way contract,0,0.00,NA
2020,Jared Harper,RFA,0,Signed 2-way contract,0,0.00,NA
2020,Naz Mitrou-Long,UFA,0,Signed Exhibit 10 contract and waived by IND,0,0.00,NA
2020,Justin Patton,UFA,0,"Signed and waived by MIL, signed to a two-way contract by HOU",0,0.00,NA
2020,Max Strus,RFA,0,Signed Exhibit 10 contract,0,0.00,NA
2020,Brian Bowen,UFA,-0.1,Signed 2-way contract,0,0.00,NA
2020,Gabe Vincent,RFA,-0.2,Signed 2-way contract 11/21/20,0,0.00,NA
2020,Tremont Waters,RFA,-0.3,Signed 2-way contract,0,0.00,NA
2020,Theo Pinson,UFA,-0.6,Signed 2-way contract,0,0.00,NA
