season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2016,Raymond Felton,UFA,2.7,Signed 1-yr deal with Clippers,1,1551659.00,spotrac
2017,Raymond Felton,UFA,1.9,Signed 1-yr deal with Thunder,1,2328652.00,spotrac
2018,Raymond Felton,UFA,2.2,Signed 1-yr minimum salary contract,1,2393887.00,spotrac
2019,Raymond Felton,UFA,0.7,NA,0,0.00,NA
2017,Reggie Bullock,UFA,1,Signed 2-yr/$5M deal with Pistons,2,2500000.00,capology
2019,Reggie Bullock,UFA,3.1,Signed 2-yr $8.2M contract,2,4000000.00,capology
2016,Richard Jefferson,UFA,2.7,Signed 3-yr/$7.5M deal with Cavaliers,3,2500000.00,capology
2019,Richaun Holmes,UFA,4.3,Signed 2-yr $9.77M contract,2,4767000.00,capology
2019,Ricky Rubio,UFA,3.7,Signed 3-yr $51M contract,3,16200000.00,capology
2016,Robert Sacre,UFA,0.3,Reportedly agreed to training camp deal with Pelicans,0,0.00,NA
2019,Robin Lopez,UFA,2.7,Signed 2-yr $9.77M contract,2,4767000.00,capology
2018,Rodney Hood,RFA,2.7,Accepted 1-yr $3.47MM qualifying offer,1,3472887.00,capology
2019,Rodney Hood,UFA,2.6,Signed 2-yr $11.72M contract,2,5718000.00,capology
2019,Rodney McGruder,RFA,1.9,Signed 3-yr $15M contract,3,4807693.00,capology
2018,Rodney Purvis,UFA,-0.3,NA,0,0.00,NA
2017,Rodney Stuckey,UFA,-0.1,NA,0,0.00,NA
2017,Ron Baker,RFA,-0.1,Signed 2-yr/$8.9M deal with Knicks,2,4328000.00,capology
2019,Ron Baker,UFA,-0.1,Will reportedly play in Russia,0,0.00,NA
2019,Rondae Hollis-Jefferson,UFA,1.2,Signed 1-yr $2.50M contract,1,2500000.00,capology
2016,Ronnie Price,UFA,1.4,Signed 2-yr/$5M deal with Thunder,2,2557545.00,capology
2016,Roy Hibbert,UFA,2.2,Signed 1-yr/$5M deal with Hornets,1,5000000.00,capology
2017,Roy Hibbert,UFA,1.8,NA,0,0.00,NA
2017,Rudy Gay,UFA,1.8,Signed 2-yr/$17M deal with Spurs,2,8406000.00,capology
2018,Rudy Gay,UFA,3.1,Signed 1-yr $10.087MM contract,1,10087200.00,capology
2019,Rudy Gay,UFA,4.4,Signed 2-yr $32M contract,2,14500000.00,capology
2016,Ryan Anderson,UFA,3.9,Signed 4-yr/$80M deal with Rockets,4,18735364.00,capology
2019,Ryan Anderson,UFA,-0.2,Signed 1-yr $2.56M contract,1,2564753.00,bball-insiders
2019,Ryan Arcidiacono,RFA,3.7,Signed 3-yr $9M contract,3,3000000.00,capology
2016,Ryan Kelly,RFA,0.1,Signed with Hawks,1,1015696.00,bball-insiders
2017,Ryan Kelly,UFA,0.1,Signed in Spain,0,0.00,NA
2018,Salah Mejri,UFA,2.7,Signed 1-yr minimum salary contract,1,1567007.00,spotrac
2019,Salah Mejri,UFA,1.1,Will reportedly play in Spain,0,0.00,NA
2019,Sam Dekker,UFA,1,Will reportedly play in Russia,0,0.00,NA
2016,Sasha Vujačić,UFA,1.1,Signed 1-yr deal with Knicks,1,1410598.00,spotrac
2017,Sasha Vujačić,UFA,0.1,Reportedly reach agreement to play in Italy,0,0.00,NA
2018,Sean Kilpatrick,UFA,0.1,NA,0,0.00,NA
2017,Serge Ibaka,UFA,5.1,Signed 3-yr/$65M deal with Raptors,3,20061728.00,capology
2017,Sergio Rodríguez,UFA,0.7,Reportedly agreed to deal with CSKA Moscow,0,0.00,NA
2016,Seth Curry,UFA,1.4,Signed 2-yr/$6M deal with Mavericks,2,2898000.00,capology
2019,Seth Curry,UFA,2.4,Signed 4-yr $32M contract,4,7441860.00,capology
2017,Shabazz Muhammad,UFA,2.7,Signed 1-yr deal with Timberwolves,1,1577230.00,capology
2018,Shabazz Muhammad,UFA,0.7,Signed training camp deal,0,0.00,NA
2018,Shabazz Napier,UFA,3.2,"Signed 2-yr $3.788MM contract, second year team option",2,1942422.00,capology
2018,Shane Larkin,UFA,1.4,Will reportedly play in Turkey,0,0.00,NA
2019,Shaquille Harrison,UFA,1.4,Signed 1-yr $0.89M contract,1,1620564.00,bball-insiders
2017,Shaun Livingston,UFA,2.6,Signed 3-yr/$24M deal with Warriors,3,7692308.00,capology
2017,Shelvin Mack,UFA,1.4,Signed 2-yr/$12M deal with Magic,2,6000000.00,capology
2018,Shelvin Mack,UFA,1.9,Signed 1-yr minimum salary contract,1,2029463.00,spotrac
2019,Shelvin Mack,UFA,0.9,Will reportedly play in Italy,0,0.00,NA
2019,Sindarius Thornwell,UFA,0,Signed 1-yr $1.62M contract,1,1620564.00,spotrac
2016,Solomon Hill,UFA,2.1,Signed 4-yr/$48M deal with Pelicans,4,11241218.00,capology
2019,Stanley Johnson,UFA,0.5,Signed 2-yr $7.42M contract,2,3623000.00,capology
2017,Stephen Curry,UFA,12.6,Reportedly agreed to 5-yr/$201M deal with Warriors,5,34682550.00,capology
2017,Stephen Zimmerman,UFA,0,Reportedly agreed to deal with Lakers,1,1312611.00,spotrac
